trip_id,liin,zoo_saabumine_sek,toompark_saabumine_sek
1789383,8,18480,19020
1789198,8,19380,19920
1789216,8,20220,20760
1789234,8,20940,21480
1789251,8,21600,22320
1789269,8,22260,22980
1789305,8,22740,23460
1789401,8,23220,23940
1789324,8,23700,24420
1789287,8,24180,24900
1789340,8,24660,25380
1789385,8,25200,25980
1789373,8,25740,26520
1789200,8,26220,27000
1789351,8,26760,27540
1789218,8,27300,28080
1789363,8,27900,28680
1789236,8,28440,29220
1789253,8,29100,29880
1789271,8,29760,30600
1789307,8,30480,31260
1789403,8,31080,31860
1789326,8,31680,32460
1789289,8,32340,33120
1789342,8,33060,33840
1789375,8,33780,34560
1789387,8,34560,35340
1789353,8,35340,36120
1789202,8,36120,36900
1789220,8,36900,37680
1789238,8,37800,38580
1789255,8,38700,39480
1789273,8,39360,40140
1789309,8,40200,40980
1789328,8,41040,41820
1789291,8,41880,42660
1789389,8,42720,43500
1789377,8,43560,44340
1789204,8,44400,45180
1789222,8,45180,45960
1789240,8,46020,46800
1789257,8,46860,47640
1789275,8,47700,48480
1789311,8,48540,49320
1789330,8,49380,50160
1789293,8,50220,51060
1789391,8,51000,51840
1789379,8,51720,52560
1789206,8,52380,53220
1789224,8,53040,53880
1789242,8,53820,54660
1789406,8,54360,55200
1789259,8,54960,55800
1789277,8,55560,56400
1789344,8,56160,57000
1789313,8,56820,57660
1789367,8,57420,58320
1789332,8,58020,58920
1789357,8,58560,59460
1789295,8,59160,60060
1789393,8,59880,60780
1789208,8,60660,61560
1789226,8,61380,62280
1789244,8,62100,63000
1789408,8,62760,63660
1789261,8,63420,64320
1789279,8,64080,64980
1789347,8,64860,65760
1789315,8,65640,66540
1789369,8,66420,67200
1789359,8,67260,68040
1789334,8,68160,68940
1789297,8,69000,69780
1789395,8,69900,70680
1789210,8,70800,71580
1789228,8,71640,72360
1789246,8,72480,73200
1789263,8,73380,74100
1789281,8,74280,75000
1789317,8,75240,75960
1789336,8,76140,76860
1789299,8,77100,77820
1789397,8,78120,78840
1789212,8,79140,79800
1789230,8,80160,80820
1789265,8,81120,81780
1789283,8,82140,82800
1789319,8,83160,83760
1789301,8,84360,84900
